__________________________________________________
Iteration   Train.Loss (MSE)     Time (in sec)    
   867           0.214               0.141        
   868           0.243               0.141        
   869           0.279               0.125        
   870           0.235               0.141        
   871           0.381               0.125        
   872           0.273               0.141        
   873           0.313               0.141        
   874           0.107               0.125        
   875           0.289               0.141        
   876           0.262               0.141        
   877           0.316               0.125        
   878           0.197               0.141        
   879           0.188               0.141        
   880           0.218               0.125        
   881           0.224               0.141        
